Feature,Importance
num__BMI_RANGE,2.907953849500329
num__SUFFICIENT_INCOME,2.516509204798668
cat__DAILY_STRESS_5,2.4403889263963436
num__DONATION,2.2899545568191098
num__LOST_VACATION,2.0402245011923896
num__DAILY_STEPS,2.019001020729403
num__PLACES_VISITED,1.894539563367222
num__WEEKLY_MEDITATION,1.884358017547058
num__SUPPORTING_OTHERS,1.8800753650155846
num__LIVE_VISION,1.8010266842518812
num__SOCIAL_NETWORK,1.797214479933719
num__CORE_CIRCLE,1.674971899503839
num__TIME_FOR_PASSION,1.6743210353691456
num__PERSONAL_AWARDS,1.6364703845186395
num__FRUITS_VEGGIES,1.6023986171536373
num__DAILY_SHOUTING,1.5727604417551326
cat__DAILY_STRESS_0,1.5603115759501567
num__ACHIEVEMENT,1.5047783028428772
num__TODO_COMPLETED,1.442247681398669
num__FLOW,1.2427149039684868
cat__DAILY_STRESS_4,1.2396791137036447
cat__DAILY_STRESS_1,1.0862184482842319
cat__DAILY_STRESS_3,0.7001524306746907
cat__DAILY_STRESS_2,0.6773862712632203
num__SLEEP_HOURS,0.6336790331688614
cat__AGE_Less than 20,0.42233051327441484
cat__GENDER_Male,0.3083803051693245
cat__AGE_21 to 35,0.3077464984585753
cat__GENDER_Female,0.28903380095312386
cat__AGE_51 or more,0.16130434404051286
cat__AGE_36 to 50,0.15131284530986852
cat__DAILY_STRESS_1/1/00,0.0006151022148248606
